flood_id,flood_rank,peak_date,peak_discharge_m3s,start_date,end_date,precip_start_daily,precip_end_daily,duration_days,year,month,season
event_001_20180704_flood,1,2018-07-04 17:30:00,1088.72,2018-07-01 17:30:00,2018-07-07 17:30:00,2018-07-01,2018-07-07,6,2018,7,Monsoon
event_002_20240928_flood,2,2024-09-28 05:30:00,1019.75,2024-09-25 05:30:00,2024-10-01 05:30:00,2024-09-25,2024-10-01,6,2024,9,Monsoon
event_003_20240731_flood,3,2024-07-31 05:40:00,826.21,2024-07-28 05:40:00,2024-08-03 05:40:00,2024-07-28,2024-08-03,6,2024,7,Monsoon
event_004_20240706_flood,4,2024-07-06 16:40:00,676.71,2024-07-03 16:40:00,2024-07-09 16:40:00,2024-07-03,2024-07-09,6,2024,7,Monsoon
event_005_20230808_flood,5,2023-08-08 09:20:00,657.86,2023-08-05 09:20:00,2023-08-11 09:20:00,2023-08-05,2023-08-11,6,2023,8,Monsoon
event_006_20220810_flood,6,2022-08-10 02:40:00,575.72,2022-08-07 02:40:00,2022-08-13 02:40:00,2022-08-07,2022-08-13,6,2022,8,Monsoon
event_007_20190712_flood,7,2019-07-12 21:00:00,574.37,2019-07-09 21:00:00,2019-07-15 21:00:00,2019-07-09,2019-07-15,6,2019,7,Monsoon
event_008_20210906_flood,8,2021-09-06 07:30:00,567.863,2021-09-03 07:30:00,2021-09-09 07:30:00,2021-09-03,2021-09-09,6,2021,9,Monsoon
event_009_20200720_flood,9,2020-07-20 17:50:00,441.77,2020-07-17 17:50:00,2020-07-23 17:50:00,2020-07-17,2020-07-23,6,2020,7,Monsoon
event_010_20220615_flood,10,2022-06-15 03:00:00,412.4,2022-06-12 03:00:00,2022-06-18 03:00:00,2022-06-12,2022-06-18,6,2022,6,Monsoon
event_011_20150817_flood,11,2015-08-17 04:30:00,407.78,2015-08-14 04:30:00,2015-08-20 04:30:00,2015-08-14,2015-08-20,6,2015,8,Monsoon
event_012_20180806_flood,12,2018-08-06 09:20:00,325.4,2018-08-03 09:20:00,2018-08-09 09:20:00,2018-08-03,2018-08-09,6,2018,8,Monsoon
event_013_20240818_flood,13,2024-08-18 04:10:00,290.58,2024-08-15 04:10:00,2024-08-21 04:10:00,2024-08-15,2024-08-21,6,2024,8,Monsoon
event_014_20210701_flood,14,2021-07-01 09:30:00,282.6,2021-06-28 09:30:00,2021-07-04 09:30:00,2021-06-28,2021-07-04,6,2021,7,Monsoon
event_015_20200923_flood,15,2020-09-23 19:50:00,264.92,2020-09-20 19:50:00,2020-09-26 19:50:00,2020-09-20,2020-09-26,6,2020,9,Monsoon
event_016_20210615_flood,16,2021-06-15 08:40:00,250.71,2021-06-12 08:40:00,2021-06-18 08:40:00,2021-06-12,2021-06-18,6,2021,6,Monsoon
event_017_20220629_flood,17,2022-06-29 07:10:00,244.76,2022-06-26 07:10:00,2022-07-02 07:10:00,2022-06-26,2022-07-02,6,2022,6,Monsoon
event_018_20230914_flood,18,2023-09-14 05:20:00,242.72,2023-09-11 05:20:00,2023-09-17 05:20:00,2023-09-11,2023-09-17,6,2023,9,Monsoon
event_019_20240915_flood,19,2024-09-15 22:30:00,240.0,2024-09-12 22:30:00,2024-09-18 22:30:00,2024-09-12,2024-09-18,6,2024,9,Monsoon
event_020_20230614_flood,20,2023-06-14 02:20:00,233.2,2023-06-11 02:20:00,2023-06-17 02:20:00,2023-06-11,2023-06-17,6,2023,6,Monsoon
